family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,11.94312092121535,18.842350286522073,57.767391043082974,88.44891086871216,27.473750657854257,109.8875954498848,5,100
injection_electrons_s10x10,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,11.94312092121535,15.37581606470237,28.742027868019804,53.77889419577504,20.089360961648406,136.9849703494179,5,500
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.789724393560842,14.014380861833578,29.886365496019216,40.162706337168785,6.322567546887601,32.82845447226,5,100
injection_electrons_s10x10,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.789724393560842,13.709932252940115,27.064712247163712,37.1178097139218,9.084808780981652,43.53741629378249,5,500
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.019099074130056,9.724678591299476,-2.938592388918404,-2.740100825451164,2.6545368751447724,15.834941363464,5,100
injection_electrons_s10x10,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.019099074130056,11.33526890794156,13.136608631907198,13.367974144580486,5.754397166524977,27.007333813897702,5,500
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.071305107868312,10.199679148534976,1.2746514904644402,2.010545262319008,1.3285404887617716,10.9144764075271,5,100
injection_electrons_s10x10,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.071305107868312,10.55002781710213,4.753333397275505,5.514504376326657,3.6237516813861124,18.240477812739197,5,500
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.014251312985074,9.966585071948254,-0.4759840705716445,-0.3207098197041902,0.8300038164927817,8.3194103490471,5,100
injection_electrons_s10x10,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.014251312985074,10.300131638776737,2.8547348858818156,3.015205620090322,2.6776060468531893,15.193308541532398,5,500
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.018834350771106,10.037464643096715,0.18595269343060217,0.38818146947448007,0.6288675063633702,6.366413514133999,5,100
injection_electrons_s10x10,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.018834350771106,10.216912152969126,1.9770543684333397,2.1828985445384808,2.1159733320820773,13.9614725977722,5,500
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.008930316865388,9.990585089060554,-0.1832885955247665,-0.08067728571194976,0.5177877670314825,5.171970415366898,5,100
injection_electrons_s10x10,150,0.015000000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.008930316865388,10.098328064378585,0.893179837235536,0.9968977536906953,1.567449806393179,9.413132786627,5,500
injection_electrons_s10x10,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.005331307217372,10.006429717427554,0.010978249259885331,0.07779036367765446,0.3828480066300658,3.4116347335413,5,100
