beam,power_kw,sigma0_mm,sigmam_h2o_mm,sigmam_n2_mm,rec_h2o_mm,rec_n2_mm,residual_h2o_pct,residual_n2_pct,frac_n2
injection,100,3.0,22.799,20.968,19.514,17.886,550.455,496.185,1.0
injection,100,4.0,19.328,17.803,15.05,13.767,276.26,244.166,1.0
injection,100,5.0,17.501,16.17,12.221,11.163,144.42,123.265,1.0
injection,100,6.0,16.546,15.356,10.256,9.336,70.938,55.603,1.0
injection,100,7.0,16.111,15.032,8.76,8.037,25.148,14.808,1.0
injection,100,8.0,16.011,15.024,,,,,1.0
injection,100,9.0,16.143,15.234,8.613,8.73,-4.299,-3.003,1.0
injection,100,10.0,16.439,15.598,9.828,9.864,-1.717,-1.357,1.0
injection,100,11.0,16.858,16.078,10.9,10.917,-0.913,-0.755,1.0
injection,100,12.0,17.371,16.644,11.934,11.944,-0.553,-0.467,1.0
injection,100,13.0,17.957,17.277,12.953,12.96,-0.362,-0.309,1.0
injection,100,14.0,18.601,17.963,13.965,13.97,-0.249,-0.214,1.0
injection,100,15.0,19.291,18.692,14.973,14.977,-0.179,-0.154,1.0
injection,100,16.0,20.02,19.455,15.979,15.982,-0.132,-0.114,1.0
injection,100,17.0,20.78,20.246,16.983,16.985,-0.1,-0.086,1.0
injection,100,18.0,21.566,21.061,17.986,17.988,-0.077,-0.067,1.0
injection,100,19.0,22.374,21.896,18.988,18.99,-0.061,-0.052,1.0
injection,100,20.0,23.201,22.747,,,,,1.0
injection,200,3.0,43.134,39.415,,,,,1.0
injection,200,4.0,36.134,32.729,,,,,1.0
injection,200,5.0,31.409,28.411,,,,,1.0
injection,200,6.0,28.273,25.633,,19.962,,232.708,1.0
injection,200,7.0,26.205,23.847,19.372,17.231,176.737,146.156,1.0
injection,200,8.0,24.853,22.719,17.051,15.142,113.143,89.28,1.0
injection,200,9.0,23.995,22.046,15.2,13.466,68.892,49.624,1.0
injection,200,10.0,23.492,21.698,13.678,12.129,36.78,21.289,1.0
injection,200,11.0,23.251,21.592,12.34,,12.183,,1.0
injection,200,12.0,23.212,21.67,,11.521,,-3.993,1.0
injection,200,13.0,23.328,21.89,12.653,12.796,-2.672,-1.57,1.0
injection,200,14.0,23.569,22.224,13.828,13.88,-1.231,-0.856,1.0
injection,200,15.0,23.91,22.648,14.893,14.92,-0.716,-0.534,1.0
injection,200,16.0,24.334,23.147,15.926,15.942,-0.464,-0.361,1.0
injection,200,17.0,24.825,23.706,16.945,16.957,-0.321,-0.255,1.0
injection,200,18.0,25.373,24.317,17.958,17.966,-0.233,-0.188,1.0
injection,200,19.0,25.969,24.969,18.967,18.973,-0.174,-0.141,1.0
injection,200,20.0,26.606,25.659,,,,,1.0
injection,300,3.0,51.641,50.631,,,,,0.947
injection,300,4.0,49.06,46.826,,,,,0.996
injection,300,5.0,45.326,40.766,,,,,1.0
injection,300,6.0,40.367,36.211,,,,,1.0
