family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,voltage_kv,power_kw
injection_ions_s10x10,0,0.0,96568,99988,99988,99988,0.9657958955074609,1.0,9.93044799293483,9.98184665832871,49.369217665016414,394.59002281730557,397.14995436400153,50.18179264374983,143.8938524097567,ions,H₂⁺,5,100
injection_ions_s10x10,200,0.02,97474,99988,99988,99988,0.9748569828379405,1.0,9.951306045728932,9.98184665832871,49.15590697754271,392.4530365984708,393.9643776571445,49.964310941905964,141.0063655359003,ions,H₂⁺,5,100
injection_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,29.77298561245984,198.2713182396735,198.2713182396735,21.283173861877334,52.315464900998805,ions,H₂⁺,5,100
injection_ions_s10x10,0,0.0,45808,99988,99988,99988,0.45813497619714366,1.0,8.19012268571248,9.98184665832871,55.54745778005785,456.48478364181085,578.2249779598465,56.43671940649193,141.216802104014,ions,H₂⁺,5,500
injection_ions_s10x10,200,0.02,46285,99988,99988,99988,0.4629055486658399,1.0,8.216886223429222,9.98184665832871,55.61653896209129,457.17685179711356,576.8566273135077,56.49860942832881,137.482406000048,ions,H₂⁺,5,500
injection_ions_s10x10,1000,0.1,60256,99988,99988,99988,0.6026323158779053,1.0,9.254735152100416,9.98184665832871,50.337493320916664,404.2903887820775,443.910684569858,51.31291835205272,141.3010980292739,ions,H₂⁺,5,500
injection_ions_s10x10,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,32.817894566443115,228.77578357768434,228.77578357768434,24.296635919497923,61.023717736202286,ions,H₂⁺,10,100
injection_ions_s10x10,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,32.54799508104687,226.07188023560042,226.07188023560042,24.019980113687215,60.212853781327894,ions,H₂⁺,10,100
injection_ions_s10x10,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,26.74700691444709,167.9564997337419,167.9564997337419,18.056836494914332,43.3825985862981,ions,H₂⁺,10,100
injection_ions_s10x10,0,0.0,60472,99988,99988,99988,0.6047925751090131,1.0,8.783488695925076,9.98184665832871,54.936313759236,450.36222895087184,525.449814544904,55.786371393513726,140.14566802992078,ions,H₂⁺,10,500
injection_ions_s10x10,200,0.02,60957,99988,99988,99988,0.6096431571788614,1.0,8.791072017202493,9.98184665832871,55.002698274042174,451.02728139135166,525.6654269969819,55.83599888360222,140.47651623017128,ions,H₂⁺,10,500
injection_ions_s10x10,1000,0.1,75984,99988,99988,99988,0.7599311917430092,1.0,9.167573003501499,9.98184665832871,51.807470893386544,419.0168980421988,465.11653491713673,52.739767572682155,137.8895001993144,ions,H₂⁺,10,500
